id,loc,cnty,lon,lat,elev
421,weybourne,norfolk,1.122,52.949,21
429,coltishall,norfolk,1.351,52.757,17
432,gorleston,norfolk,1.738,52.572,4
433,hemsby,norfolk,1.687,52.686,13
434,mildenhall,suffolk,0.471,52.372,5
435,brooms-barn,suffolk,0.566,52.261,75
436,cavendish,suffolk,0.628,52.091,55
438,honington,suffolk,0.77,52.34,51
439,east-bergholt,suffolk,1.023,51.96,7
440,wattisham,suffolk,0.957,52.124,89
443,felixstowe,suffolk,1.325,51.947,3
451,boxworth-samson-field,cambridgeshire,-0.033,52.251,53
452,mepal,cambridgeshire,0.1,52.422,-2
453,march,cambridgeshire,0.093,52.55,2
454,cambridge-botanic-garden,cambridgeshire,0.129,52.194,13
455,cambridge-niab,cambridgeshire,0.1,52.245,26
456,monks-wood,cambridgeshire,-0.237,52.402,41
457,wyton,cambridgeshire,-0.116,52.354,40
458,woburn,bedfordshire,-0.596,52.014,89
461,bedford,bedfordshire,-0.465,52.227,85
464,silsoe,bedfordshire,-0.41,52.01,59
465,cardington,bedfordshire,-0.422,52.105,27
470,garston-building-research,hertfordshire,-0.376,51.702,78
471,rothamsted,hertfordshire,-0.36,51.807,128
481,high-beach,essex,0.041,51.664,110
484,stansted,essex,0.223,51.881,101
487,writtle,essex,0.429,51.734,32
489,coryton,essex,0.515,51.513,3
496,southend-southchurch-park,essex,0.738,51.532,4
497,shoeburyness,essex,0.807,51.537,2
498,shoeburyness-landwick,essex,0.827,51.555,2
501,thames-tower,essex,1.111,51.774,8
504,walton-on-the-naze,essex,1.28,51.855,5
507,slaidburn,lancashire,-2.435,53.988,192
509,malham-tarn,north-yorkshire,-2.164,54.1,381
513,bingley-no-2,west-yorkshire,-1.867,53.811,262
521,emley-moor,west-yorkshire,-1.665,53.613,259
523,leeds-weather-centre,west-yorkshire,-1.561,53.801,64
525,sheffield,south-yorkshire,-1.491,53.381,131
527,high-bradfield,south-yorkshire,-1.584,53.433,395
533,church-fenton,north-yorkshire,-1.199,53.836,8
534,bramham,west-yorkshire,-1.319,53.869,54
535,cawood,north-yorkshire,-1.148,53.828,6
536,askham-bryan,north-yorkshire,-1.163,53.923,32
538,skipton-no-2,north-yorkshire,-2.03,53.967,153
545,barbrook,derbyshire,-1.579,53.288,323
549,ashover-no-2,derbyshire,-1.48,53.162,178
554,sutton-bonington,nottinghamshire,-1.251,52.836,43
556,nottingham-watnall,nottinghamshire,-1.251,53.006,117
559,nottingham,nottinghamshire,-1.155,52.95,59
561,warsop,nottinghamshire,-1.116,53.223,46
562,finningley,south-yorkshire,-1.008,53.483,10
564,southwell,nottinghamshire,-0.963,53.064,70
565,west-retford,nottinghamshire,-0.956,53.338,14
566,wiseton,nottinghamshire,-0.932,53.396,6
567,clarborough,nottinghamshire,-0.901,53.341,21
569,newtown-linford,leicestershire,-1.217,52.681,119
574,brooksby-hall-no-2,leicestershire,-0.996,52.732,70
575,caldecott-p-sta,leicestershire,-0.727,52.53,53
576,cottesmore,leicestershire,-0.656,52.727,136
583,wittering,cambridgeshire,-0.468,52.612,74
589,luddington,warwickshire,-1.757,52.173,56
593,elmdon,west-midlands,-1.742,52.453,96
595,church-lawford,warwickshire,-1.331,52.359,107
596,wellesbourne,warwickshire,-1.605,52.206,47
604,rugby,warwickshire,-1.257,52.37,117
605,brize-norton,oxfordshire,-1.578,51.758,82
606,oxford,oxfordshire,-1.264,51.761,63
613,benson,oxfordshire,-1.099,51.62,57
616,grendon-underwood,buckinghamshire,-1.016,51.889,67
617,amersham-no-2,buckinghamshire,-0.592,51.668,137
620,chenies-no-2,buckinghamshire,-0.534,51.69,139
622,keele,staffordshire,-2.27,52.999,179
626,penkridge,staffordshire,-2.12,52.702,101
627,cellarhead,staffordshire,-2.085,53.04,228
635,oswestry-school,shropshire,-3.063,52.856,139
638,preston-montford,shropshire,-2.842,52.725,71
642,ludlow-w-wks,shropshire,-2.712,52.355,72
643,shawbury,shropshire,-2.665,52.795,72
651,newport-salop,shropshire,-2.428,52.778,66
657,pershore,hereford-and-worcester,-2.041,52.148,35
658,pershore-college,hereford-and-worcester,-2.06,52.1,37
660,astwood-bank,hereford-and-worcester,-1.935,52.248,137
663,halesowen,west-midlands,-2.076,52.438,153
668,bromyard-batchley-farm,hereford-and-worcester,-2.587,52.214,250
669,shobdon-airfield,hereford-and-worcester,-2.886,52.243,99
670,great-malvern,hereford-and-worcester,-2.306,52.121,44
671,ross-on-wye,hereford-and-worcester,-2.586,51.911,67
672,worcester-cornmeadow,hereford-and-worcester,-2.225,52.224,30
673,preston-wynne,hereford-and-worcester,-2.638,52.125,84
674,avonmouth,avon,-2.717,51.506,9
675,bristol-weather-centre,avon,-2.6,51.453,42
676,filton,avon,-2.577,51.522,59
680,slimbridge,gloucestershire,-2.404,51.74,5
686,innsworth,gloucestershire,-2.196,51.891,21
688,cirencester,gloucestershire,-1.996,51.709,133
689,fairford-airfield,gloucestershire,-1.773,51.69,82
691,westonbirt,gloucestershire,-2.221,51.607,135
692,little-rissington,gloucestershire,-1.693,51.861,210
706,blackwall,greater-london,0.007,51.508,5
708,heathrow,greater-london,-0.451,51.479,25
709,northolt,greater-london,-0.417,51.549,33
711,hampton-w-wks,greater-london,-0.378,51.412,12
718,merrist-wood,surrey,-0.618,51.274,51
719,wisley,surrey,-0.476,51.311,38
720,mickleham,surrey,-0.321,51.261,55
721,kew,greater-london,-0.316,51.468,5
723,kew-gardens,greater-london,-0.294,51.482,6
725,gatwick,west-sussex,-0.193,51.152,59
726,kenley-airfield,greater-london,-0.092,51.304,170
